Year,State,StateCode,County,CountyCode,Deaths,Population,CrudeRate
2016,Alabama,01,"Autauga County, AL",01001,0,55416,Unreliable
2016,Alabama,01,"Baldwin County, AL",01003,18,208563,Unreliable
2016,Alabama,01,"Barbour County, AL",01005,0,25965,Unreliable
2016,Alabama,01,"Bibb County, AL",01007,Suppressed,22643,Suppressed
2016,Alabama,01,"Blount County, AL",01009,Suppressed,57704,Suppressed
2016,Alabama,01,"Bullock County, AL",01011,Suppressed,10362,Suppressed
2016,Alabama,01,"Butler County, AL",01013,Suppressed,19998,Suppressed
2016,Alabama,01,"Calhoun County, AL",01015,Suppressed,114611,Suppressed
2016,Alabama,01,"Chambers County, AL",01017,0,33843,Unreliable
2016,Alabama,01,"Cherokee County, AL",01019,Suppressed,25725,Suppressed
2016,Alabama,01,"Chilton County, AL",01021,Suppressed,43941,Suppressed
2016,Alabama,01,"Choctaw County, AL",01023,0,12993,Unreliable
2016,Alabama,01,"Clarke County, AL",01025,0,24392,Unreliable
2016,Alabama,01,"Clay County, AL",01027,Suppressed,13492,Suppressed
2016,Alabama,01,"Cleburne County, AL",01029,0,14924,Unreliable
2016,Alabama,01,"Coffee County, AL",01031,0,51226,Unreliable
2016,Alabama,01,"Colbert County, AL",01033,0,54216,Unreliable
2016,Alabama,01,"Conecuh County, AL",01035,Suppressed,12395,Suppressed
2016,Alabama,01,"Coosa County, AL",01037,0,10581,Unreliable
2016,Alabama,01,"Covington County, AL",01039,0,37458,Unreliable
2016,Alabama,01,"Crenshaw County, AL",01041,0,13913,Unreliable
2016,Alabama,01,"Cullman County, AL",01043,13,82471,Unreliable
2016,Alabama,01,"Dale County, AL",01045,0,49226,Unreliable
2016,Alabama,01,"Dallas County, AL",01047,0,40008,Unreliable
2016,Alabama,01,"DeKalb County, AL",01049,Suppressed,70900,Suppressed
2016,Alabama,01,"Elmore County, AL",01051,Suppressed,81799,Suppressed
2016,Alabama,01,"Escambia County, AL",01053,Suppressed,37728,Suppressed
2016,Alabama,01,"Etowah County, AL",01055,Suppressed,102564,Suppressed
2016,Alabama,01,"Fayette County, AL",01057,0,16546,Unreliable
2016,Alabama,01,"Franklin County, AL",01059,Suppressed,31628,Suppressed
2016,Alabama,01,"Geneva County, AL",01061,0,26614,Unreliable
2016,Alabama,01,"Greene County, AL",01063,0,8422,Unreliable
2016,Alabama,01,"Hale County, AL",01065,0,14952,Unreliable
2016,Alabama,01,"Henry County, AL",01067,0,17164,Unreliable
2016,Alabama,01,"Houston County, AL",01069,0,104056,Unreliable
2016,Alabama,01,"Jackson County, AL",01071,0,52138,Unreliable
2016,Alabama,01,"Jefferson County, AL",01073,166,659521,25.17
2016,Alabama,01,"Lamar County, AL",01075,0,13918,Unreliable
2016,Alabama,01,"Lauderdale County, AL",01077,Suppressed,92318,Suppressed
2016,Alabama,01,"Lawrence County, AL",01079,Suppressed,33244,Suppressed
2016,Alabama,01,"Lee County, AL",01081,0,158991,Unreliable
2016,Alabama,01,"Limestone County, AL",01083,Suppressed,92753,Suppressed
2016,Alabama,01,"Lowndes County, AL",01085,0,10358,Unreliable
2016,Alabama,01,"Macon County, AL",01087,0,18963,Unreliable
2016,Alabama,01,"Madison County, AL",01089,16,356967,Unreliable
2016,Alabama,01,"Marengo County, AL",01091,0,19673,Unreliable
2016,Alabama,01,"Marion County, AL",01093,0,29998,Unreliable
2016,Alabama,01,"Marshall County, AL",01095,0,95157,Unreliable
2016,Alabama,01,"Mobile County, AL",01097,21,414836,5.06
2016,Alabama,01,"Monroe County, AL",01099,0,21530,Unreliable
2016,Alabama,01,"Montgomery County, AL",01101,Suppressed,226349,Suppressed
2016,Alabama,01,"Morgan County, AL",01103,Suppressed,119012,Suppressed
2016,Alabama,01,"Perry County, AL",01105,0,9574,Unreliable
2016,Alabama,01,"Pickens County, AL",01107,0,20324,Unreliable
2016,Alabama,01,"Pike County, AL",01109,0,33286,Unreliable
2016,Alabama,01,"Randolph County, AL",01111,0,22652,Unreliable
2016,Alabama,01,"Russell County, AL",01113,Suppressed,58172,Suppressed
2016,Alabama,01,"St. Clair County, AL",01115,12,88019,Unreliable
2016,Alabama,01,"Shelby County, AL",01117,28,210622,13.29
2016,Alabama,01,"Sumter County, AL",01119,0,13040,Unreliable
2016,Alabama,01,"Talladega County, AL",01121,Suppressed,80103,Suppressed
2016,Alabama,01,"Tallapoosa County, AL",01123,Suppressed,40727,Suppressed
2016,Alabama,01,"Tuscaloosa County, AL",01125,Suppressed,206102,Suppressed
2016,Alabama,01,"Walker County, AL",01127,Suppressed,64967,Suppressed
2016,Alabama,01,"Washington County, AL",01129,0,16756,Unreliable
2016,Alabama,01,"Wilcox County, AL",01131,0,10986,Unreliable
2016,Alabama,01,"Winston County, AL",01133,0,23805,Unreliable
2017,Alabama,01,"Autauga County, AL",01001,Suppressed,55504,Suppressed
2017,Alabama,01,"Baldwin County, AL",01003,21,212628,9.88
2017,Alabama,01,"Barbour County, AL",01005,Suppressed,25270,Suppressed
2017,Alabama,01,"Bibb County, AL",01007,0,22668,Unreliable
2017,Alabama,01,"Blount County, AL",01009,Suppressed,58013,Suppressed
2017,Alabama,01,"Bullock County, AL",01011,0,10309,Unreliable
2017,Alabama,01,"Butler County, AL",01013,0,19825,Unreliable
2017,Alabama,01,"Calhoun County, AL",01015,Suppressed,114728,Suppressed
2017,Alabama,01,"Chambers County, AL",01017,Suppressed,33713,Suppressed
2017,Alabama,01,"Cherokee County, AL",01019,Suppressed,25857,Suppressed
2017,Alabama,01,"Chilton County, AL",01021,Suppressed,44067,Suppressed
2017,Alabama,01,"Choctaw County, AL",01023,0,12945,Unreliable
2017,Alabama,01,"Clarke County, AL",01025,0,24083,Unreliable
2017,Alabama,01,"Clay County, AL",01027,Suppressed,13367,Suppressed
