"","X.1","X","County","year","pop_year","ER_annual","OXYCODONE_annual","HYDROCODONE_annual","BUPRENORPHINE_annual","METHADONE_annual","presence","ER_annual_percapita","ER_annual_per100k","OXYCODONE_annual_percapita","OXYCODONE_annual_per100k","HYDROCODONE_annual_percapita","HYDROCODONE_annual_per100k","BUPRENORPHINE_annual_percapita","BUPRENORPHINE_annual_per100k","METHADONE_annual_percapita","METHADONE_annual_per100k","State","StateCode","CountyCode","Deaths","pop_CDC","CrudeRate","deaths_per100k","state","county","full_fips","employment_status_for_the_population_16_years_and_over_total_in_labor_force_civilian_labor_force","employment_status_for_the_population_16_years_and_over_total_in_labor_force_civilian_labor_force_unemployed","gini_index_of_income_inequality_gini_index","median_household_income_in_the_past_12_months_in_2021_inflation_adjusted_dollars_median_household_income_in_the_past_12_months_in_2021_inflationadjusted_dollars","place_of_birth_by_educational_attainment_in_the_united_states_total_high_school_graduate_includes_equivalency","poverty_status_in_the_past_12_months_by_sex_by_age_total","poverty_status_in_the_past_12_months_by_sex_by_age_total_income_in_the_past_12_months_below_poverty_level","presence_of_own_children_under_18_years_by_age_of_own_children_under_18_years_by_employment_status_for_females_20_to_64_years_total","presence_of_own_children_under_18_years_by_age_of_own_children_under_18_years_by_employment_status_for_females_20_to_64_years_total_with_own_children_of_the_householder_under_18_years_under_6_years_only","sex_by_age_by_disability_status_total_female_18_to_34_years_with_a_disability","sex_by_age_by_disability_status_total_female_35_to_64_years_with_a_disability","sex_by_age_by_disability_status_total_female_5_to_17_years_with_a_disability","sex_by_age_by_disability_status_total_female_65_to_74_years_with_a_disability","sex_by_age_by_disability_status_total_female_75_years_and_over_with_a_disability","sex_by_age_by_disability_status_total_female_under_5_years_with_a_disability","sex_by_age_by_disability_status_total_male_18_to_34_years_with_a_disability","sex_by_age_by_disability_status_total_male_35_to_64_years_with_a_disability","sex_by_age_by_disability_status_total_male_5_to_17_years_with_a_disability","sex_by_age_by_disability_status_total_male_65_to_74_years_with_a_disability","sex_by_age_by_disability_status_total_male_75_years_and_over_with_a_disability","sex_by_age_by_disability_status_total_male_under_5_years","sex_by_age_total","sex_by_age_total_female","sex_by_age_total_male","total_population_total","types_of_health_insurance_coverage_by_age_total_19_to_34_years_no_health_insurance_coverage","types_of_health_insurance_coverage_by_age_total_65_years_and_over_no_health_insurance_coverage","types_of_health_insurance_coverage_by_age_total_under_19_years_no_health_insurance_coverage","unemployee_rate","gini_index","median_income","poverty_rate","disability","disability_rate","disability_per100k","noinsurance","noinsurance_rate","noinsurance_per100k","STFIPS","CTYFIPS","ST_ABBREV","CTYNAME","CBSATITLE","CBSAPOP","CTYPOP","CODE2023","CODE2013","CODE2006","CODE1990","Urcode_diff","Diff_index","URcode"
"1",1,1,"BLOUNT",2016,57494,102,8968459.1688,6418353.47883,17625610.05,1435690.88,1,0.00177409816676523,177.409816676523,155.989480098793,15598948.0098793,111.635187651407,11163518.7651407,306.56433801788,30656433.801788,24.9711427279368,2497114.27279368,"Alabama",1,1009,NA,57704,NA,NA,1,9,1009,22680,763,0.457,49358,13299,57108,7739,16212,1169,220,1714,146,844,998,0,250,1795,277,1037,766,1750,57681,29186,28495,57681,1815,21,822,0.033641975308642,0.457,49358,0.135515164250193,9797,0.169847956866212,16984.7956866212,2658,0.0460810318822489,4608.10318822489,1,9,"AL","Blount County","Birmingham, AL",1181196,59512,2,2,2,3,0,NA,"2"
"2",2,2,"BLOUNT",2017,57787,94,8132045.37481,5422445.62504,19352887.29,1450359.04,1,0.00162666343641303,162.666343641303,140.724477387821,14072447.7387821,93.835042916919,9383504.2916919,334.900363230484,33490036.3230484,25.0983619153097,2509836.19153097,"Alabama",1,1009,NA,58013,NA,NA,1,9,1009,22680,763,0.457,49358,13299,57108,7739,16212,1169,220,1714,146,844,998,0,250,1795,277,1037,766,1750,57681,29186,28495,57681,1815,21,822,0.033641975308642,0.457,49358,0.135515164250193,9797,0.169847956866212,16984.7956866212,2658,0.0460810318822489,4608.10318822489,1,9,"AL","Blount County","Birmingham, AL",1181196,59512,2,2,2,3,0,NA,"2"
"3",3,3,"BLOUNT",2018,57771,58,8002826.70654,5294527.806592,22927352.04,1347324.16,1,0.00100396392653754,100.396392653754,138.526712477541,13852671.2477541,91.6468090666944,9164680.90666944,396.866109985979,39686610.9985979,23.3218078274567,2332180.78274567,"Alabama",1,1009,NA,57840,NA,NA,1,9,1009,22680,763,0.457,49358,13299,57108,7739,16212,1169,220,1714,146,844,998,0,250,1795,277,1037,766,1750,57681,29186,28495,57681,1815,21,822,0.033641975308642,0.457,49358,0.135515164250193,9797,0.169847956866212,16984.7956866212,2658,0.0460810318822489,4608.10318822489,1,9,"AL","Blount County","Birmingham, AL",1181196,59512,2,2,2,3,0,NA,"2"
"4",4,4,"BLOUNT",2019,57826,42,7229947.64063,3823327.902265,26663293.8,1078127.648,1,0.000726316881679521,72.6316881679521,125.029357739252,12502935.7739252,66.1177999907481,6611779.99907481,461.095247812403,46109524.7812403,18.6443407463771,1864434.07463771,"Alabama",1,1009,NA,57826,NA,NA,1,9,1009,22680,763,0.457,49358,13299,57108,7739,16212,1169,220,1714,146,844,998,0,250,1795,277,1037,766,1750,57681,29186,28495,57681,1815,21,822,0.033641975308642,0.457,49358,0.135515164250193,9797,0.169847956866212,16984.7956866212,2658,0.0460810318822489,4608.10318822489,1,9,"AL","Blount County","Birmingham, AL",1181196,59512,2,2,2,3,0,NA,"2"
"5",5,5,"CHEROKEE",2016,25768,10,14523216.95672,7276094.8673,11759967,2303884.96,1,0.000388078236572493,38.8078236572493,563.614442592363,56361444.2592363,282.369406523595,28236940.6523595,456.378725551071,45637872.5551071,89.4087612542689,8940876.12542688,"Alabama",1,1019,NA,25725,NA,NA,1,19,1019,10443,463,0.4515,41919,7598,25571,3560,7156,499,171,1082,77,494,547,0,305,773,104,615,408,656,25903,13126,12777,25903,837,14,43,0.0443359187972805,0.4515,41919,0.139220210394588,5232,0.201984326139829,20198.4326139829,894,0.0345133768289387,3451.33768289387,1,19,"AL","Cherokee County",NA,NA,25302,6,6,6,6,0,NA,"6"
"6",6,6,"CHEROKEE",2017,25805,19,11994036.52521,6669478.212,11530689.36,766643.904,1,0.000736291416392172,73.6291416392172,464.795060074017,46479506.0074017,258.456818911064,25845681.8911064,446.839347413292,44683934.7413292,29.709122418136,2970912.2418136,"Alabama",1,1019,NA,25857,NA,NA,1,19,1019,10443,463,0.4515,41919,7598,25571,3560,7156,499,171,1082,77,494,547,0,305,773,104,615,408,656,25903,13126,12777,25903,837,14,43,0.0443359187972805,0.4515,41919,0.139220210394588,5232,0.201984326139829,20198.4326139829,894,0.0345133768289387,3451.33768289387,1,19,"AL","Cherokee County",NA,NA,25302,6,6,6,6,0,NA,"6"
"7",7,7,"CHEROKEE",2018,26014,39,11095822.244255,6361174.831456,16612281.072,780864.864,1,0.00149919274236949,149.919274236949,426.532722543823,42653272.2543823,244.528901032367,24452890.1032367,638.590031213962,63859003.1213962,30.0171009456446,3001710.09456446,"Alabama",1,1019,0,26032,NA,0,1,19,1019,10443,463,0.4515,41919,7598,25571,3560,7156,499,171,1082,77,494,547,0,305,773,104,615,408,656,25903,13126,12777,25903,837,14,43,0.0443359187972805,0.4515,41919,0.139220210394588,5232,0.201984326139829,20198.4326139829,894,0.0345133768289387,3451.33768289387,1,19,"AL","Cherokee County",NA,NA,25302,6,6,6,6,0,NA,"6"
"8",8,8,"CHEROKEE",2019,26196,75,10028838.12938,5839157.74211,18060414.51,431100.8,1,0.00286303252404947,286.303252404947,382.838529904566,38283852.9904566,222.90264704955,22290264.704955,689.434055199267,68943405.5199267,16.45674148725,1645674.148725,"Alabama",1,1019,NA,26196,NA,NA,1,19,1019,10443,463,0.4515,41919,7598,25571,3560,7156,499,171,1082,77,494,547,0,305,773,104,615,408,656,25903,13126,12777,25903,837,14,43,0.0443359187972805,0.4515,41919,0.139220210394588,5232,0.201984326139829,20198.4326139829,894,0.0345133768289387,3451.33768289387,1,19,"AL","Cherokee County",NA,NA,25302,6,6,6,6,0,NA,"6"
"9",9,9,"COLBERT",2016,54497,52,31912564.81881,25481139.23882,42669890.46,6887658.128,1,0.000954180964089766,95.4180964089766,585.583882026717,58558388.2026717,467.569577019285,46756957.7019285,782.976869552452,78297686.9552452,126.386005247995,12638600.5247995,"Alabama",1,1033,0,54216,NA,0,1,33,1033,23871,1039,0.4467,48065,14740,54248,8390,16225,1171,463,2111,264,965,1350,0,488,2208,229,1052,896,1701,54771,28487,26284,54771,1416,7,284,0.0435256168572745,0.4467,48065,0.154660079634272,11727,0.214109656570083,21410.9656570083,1707,0.03116612806047,3116.612806047,1,33,"AL","Colbert County","Florence-Muscle Shoals, AL",153911,58033,4,4,4,4,0,NA,"4"
"10",10,10,"COLBERT",2017,54695,86,25493677.636365,23835860.39238,56494213.83,4857557.952,1,0.00157235579120578,157.235579120578,466.106182217113,46610618.2217113,435.795966585245,43579596.6585245,1032.89539866533,103289539.866533,88.8117369412195,8881173.69412195,"Alabama",1,1033,0,54500,NA,0,1,33,1033,23871,1039,0.4467,48065,14740,54248,8390,16225,1171,463,2111,264,965,1350,0,488,2208,229,1052,896,1701,54771,28487,26284,54771,1416,7,284,0.0435256168572745,0.4467,48065,0.154660079634272,11727,0.214109656570083,21410.9656570083,1707,0.03116612806047,3116.612806047,1,33,"AL","Colbert County","Florence-Muscle Shoals, AL",153911,58033,4,4,4,4,0,NA,"4"
