,term,estimate,std.error,conf.low,conf.high,model_index,,Formula
1,ER_annual_percapita_z,-0.105475364,0.121777153,-0.344154198,0.13320347,2,,Deaths ~ (ER_annual_percapita_z) * intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor
2,ER_annual_percapita_z:intervention2017,-0.195296065,0.15485096,-0.498798369,0.10820624,2,,Deaths ~ (ER_annual_percapita_z) * intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor
3,ER_annual_percapita_z,-0.152502321,0.125140523,-0.39777324,0.092768598,7,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
4,ER_annual_percapita_z:intervention2017,-0.159285608,0.157327586,-0.46764201,0.149070793,7,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
5,ER_annual_percapita_z,-0.103541139,0.125207611,-0.348943547,0.141861269,8,,Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
6,ER_annual_percapita_z:intervention2017,-0.160152425,0.160560213,-0.47484466,0.154539811,8,,Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
7,ER_annual_percapita_z,-0.186865206,0.129461786,-0.440605645,0.066875233,9,,Deaths ~ (ER_annual_percapita_z + METHADONE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
8,ER_annual_percapita_z:intervention2017,-0.124895181,0.163779074,-0.445896267,0.196105905,9,,Deaths ~ (ER_annual_percapita_z + METHADONE_annual_percapita_z) *      intervention2017 + poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
9,ER_annual_percapita_z,-0.21087583,0.135877301,-0.477190447,0.055438787,10,,Deaths ~ (ER_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
10,ER_annual_percapita_z:intervention2017,-0.088518643,0.169820811,-0.421361317,0.244324031,10,,Deaths ~ (ER_annual_percapita_z + rural_factor) * intervention2017 +      poverty_rate_z + disability_rate_z + noinsurance_rate_z +      rural_factor
11,ER_annual_percapita_z,-0.146209028,0.127330958,-0.39577312,0.103355064,17,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z) * intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor
12,ER_annual_percapita_z:intervention2017,-0.077747655,0.161442709,-0.39416955,0.23867424,17,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      BUPRENORPHINE_annual_percapita_z) * intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor
13,ER_annual_percapita_z,-0.219239223,0.12881138,-0.471704889,0.033226444,18,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      METHADONE_annual_percapita_z) * intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor
14,ER_annual_percapita_z:intervention2017,-0.070185842,0.163658779,-0.390951155,0.250579471,18,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      METHADONE_annual_percapita_z) * intervention2017 + poverty_rate_z +      disability_rate_z + noinsurance_rate_z + rural_factor
15,ER_annual_percapita_z,-0.200702391,0.136111351,-0.467475737,0.066070955,19,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor
16,ER_annual_percapita_z:intervention2017,-0.062783439,0.173404979,-0.402650953,0.277084075,19,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor
17,ER_annual_percapita_z,-0.167291378,0.130562025,-0.423188244,0.088605488,20,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor
18,ER_annual_percapita_z:intervention2017,-0.108752341,0.16643644,-0.43496177,0.217457088,20,,Deaths ~ (ER_annual_percapita_z + OXYCODONE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor
19,ER_annual_percapita_z,-0.248562032,0.144507009,-0.531790565,0.0346665,21,,Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor
20,ER_annual_percapita_z:intervention2017,-0.011779292,0.177940448,-0.360536163,0.336977578,21,,Deaths ~ (ER_annual_percapita_z + BUPRENORPHINE_annual_percapita_z +      rural_factor) * intervention2017 + poverty_rate_z + disability_rate_z +      noinsurance_rate_z + rural_factor
