"","Date","County","Count","pop","case_percapita"
"1",2016-01-01,"AUTAUGA",0,55243,0
"3",2016-01-01,"BALDWIN",0,207601,0
"5",2016-01-01,"BARBOUR",0,25806,0
"7",2016-01-01,"BIBB",0,22586,0
"9",2016-01-01,"BLOUNT",0,57494,0
"11",2016-01-01,"BULLOCK",0,10389,0
"13",2016-01-01,"BUTLER",0,20012,0
"15",2016-01-01,"CALHOUN",0,114973,0
"17",2016-01-01,"CHAMBERS",0,33745,0
"19",2016-01-01,"CHEROKEE",0,25768,0
"21",2016-01-01,"CHILTON",0,43866,0
"23",2016-01-01,"CHOCTAW",0,13045,0
"25",2016-01-01,"CLARKE",0,24340,0
"27",2016-01-01,"CLAY",0,13393,0
"29",2016-01-01,"CLEBURNE",0,14848,0
"31",2016-01-01,"COFFEE",0,51202,0
"33",2016-01-01,"COLBERT",0,54497,0
"35",2016-01-01,"CONECUH",0,12500,0
"37",2016-01-01,"COOSA",0,10819,0
"39",2016-01-01,"COVINGTON",0,37382,0
"41",2016-01-01,"CRENSHAW",0,13916,0
"43",2016-01-01,"CULLMAN",0,82450,0
"45",2016-01-01,"DALE",0,49362,0
"47",2016-01-01,"DALLAS",0,40080,0
"49",2016-01-01,"DE KALB",0,71104,0
"51",2016-01-01,"ELMORE",0,81204,0
"53",2016-01-01,"ESCAMBIA",0,37475,0
"55",2016-01-01,"ETOWAH",0,102855,0
"57",2016-01-01,"FAYETTE",0,16563,0
"59",2016-01-01,"FRANKLIN",0,31611,0
"61",2016-01-01,"GENEVA",0,26494,0
"63",2016-01-01,"GREENE",0,8482,0
"65",2016-01-01,"HALE",0,14828,0
"67",2016-01-01,"HENRY",0,17072,0
"69",2016-01-01,"HOUSTON",0,104218,0
"71",2016-01-01,"JACKSON",0,51988,0
"73",2016-01-01,"JEFFERSON",0,660343,0
"75",2016-01-01,"LAMAR",0,13928,0
"77",2016-01-01,"LAUDERDALE",0,92425,0
"79",2016-01-01,"LAWRENCE",1,33227,3.00960062599693e-05
"81",2016-01-01,"LEE",0,159168,0
"83",2016-01-01,"LIMESTONE",0,92847,0
"85",2016-01-01,"LOWNDES",0,10248,0
"87",2016-01-01,"MACON",0,19060,0
"89",2016-01-01,"MADISON",0,356729,0
"91",2016-01-01,"MARENGO",0,19525,0
"93",2016-01-01,"MARION",0,29960,0
"95",2016-01-01,"MARSHALL",0,95113,0
"97",2016-01-01,"MOBILE",0,414945,0
"99",2016-01-01,"MONROE",0,21548,0
"101",2016-01-01,"MONTGOMERY",0,227170,0
"103",2016-01-01,"MORGAN",1,119006,8.40293766700839e-06
"105",2016-01-01,"PERRY",0,9532,0
"107",2016-01-01,"PICKENS",0,20325,0
"109",2016-01-01,"PIKE",0,33464,0
"111",2016-01-01,"RANDOLPH",0,22504,0
"113",2016-01-01,"RUSSELL",0,58185,0
"115",2016-01-01,"SHELBY",0,211282,0
"117",2016-01-01,"SAINT CLAIR",0,87306,0
"119",2016-01-01,"SUMTER",0,12967,0
"121",2016-01-01,"TALLADEGA",0,80552,0
"123",2016-01-01,"TALLAPOOSA",0,40586,0
"125",2016-01-01,"TUSCALOOSA",0,206464,0
"127",2016-01-01,"WALKER",0,64533,0
"129",2016-01-01,"WASHINGTON",0,16621,0
"131",2016-01-01,"WILCOX",0,10844,0
"133",2016-01-01,"WINSTON",0,23907,0
"135",2016-01-02,"AUTAUGA",0,55243,0
"137",2016-01-02,"BALDWIN",0,207601,0
"139",2016-01-02,"BARBOUR",0,25806,0
"141",2016-01-02,"BIBB",0,22586,0
"143",2016-01-02,"BLOUNT",0,57494,0
"145",2016-01-02,"BULLOCK",0,10389,0
"147",2016-01-02,"BUTLER",0,20012,0
"149",2016-01-02,"CALHOUN",0,114973,0
"151",2016-01-02,"CHAMBERS",0,33745,0
"153",2016-01-02,"CHEROKEE",0,25768,0
"155",2016-01-02,"CHILTON",0,43866,0
"157",2016-01-02,"CHOCTAW",0,13045,0
"159",2016-01-02,"CLARKE",0,24340,0
"161",2016-01-02,"CLAY",0,13393,0
"163",2016-01-02,"CLEBURNE",0,14848,0
"165",2016-01-02,"COFFEE",0,51202,0
"167",2016-01-02,"COLBERT",0,54497,0
"169",2016-01-02,"CONECUH",0,12500,0
"171",2016-01-02,"COOSA",0,10819,0
"173",2016-01-02,"COVINGTON",0,37382,0
"175",2016-01-02,"CRENSHAW",0,13916,0
"177",2016-01-02,"CULLMAN",0,82450,0
"179",2016-01-02,"DALE",0,49362,0
"181",2016-01-02,"DALLAS",0,40080,0
"183",2016-01-02,"DE KALB",0,71104,0
"185",2016-01-02,"ELMORE",0,81204,0
"187",2016-01-02,"ESCAMBIA",0,37475,0
"189",2016-01-02,"ETOWAH",0,102855,0
"191",2016-01-02,"FAYETTE",0,16563,0
"193",2016-01-02,"FRANKLIN",0,31611,0
"195",2016-01-02,"GENEVA",0,26494,0
"197",2016-01-02,"GREENE",0,8482,0
