"","county","total","avg_percapita"
"1","Blount",5311501.728,0.0629949714011501
"2","Cherokee",4282494.528,0.113341359414989
"3","Colbert",19417786.232,0.242587114145324
"4","Cullman",29102692.8816,0.240208266681077
"5","Etowah",44943886.208,0.299372341968733
"6","Fayette",12619501.024,0.524771069318693
"7","Franklin",5766401.6176,0.125306453477024
"8","Jackson",4875893.152,0.0644128008880698
"9","Jefferson",154914586.8816,0.160741757748662
"10","Lamar",6192181.632,0.305473654844649
"11","Lauderdale",12139870.08,0.0897764776850249
"12","Lawrence",3702529.792,0.0766682308675096
"13","Limestone",8844372.784,0.063477147761522
"14","Madison",36102109.42,0.0681415809304587
"15","Marion",12611621.36,0.28935341911882
"16","Marshall",26375927.552,0.188721458188817
"17","Morgan",12381197.088,0.0711330372895942
"18","Pickens",6698948.672,0.227849631116817
"19","Shelby",43849042.224,0.140305249306905
"20","Tuscaloosa",131733886.06768,0.433964892231839
"21","Walker",52844827.984,0.565087794694538
"22","Winston",8760987.872,0.252200575043416
