"","county","total","avg_percapita"
"1","Blount",32333278.890759,0.383483934088325
"2","Cherokee",47641913.85549,1.25789237173981
"3","Colbert",93458146.6129125,1.16757851132831
"4","Cullman",110565418.799789,0.911480529016512
"5","Etowah",200512465.630177,1.33614424182425
"6","Fayette",11965605.656421,0.49738446936052
"7","Franklin",40243334.3195175,0.874914495175881
"8","Jackson",80032368.79698,1.0579709153707
"9","Jefferson",688507557.410555,0.71447927426
"10","Lamar",12089276.99775,0.596283122240054
"11","Lauderdale",75746949.6239535,0.560131128826338
"12","Lawrence",29298409.3933125,0.606583666522711
"13","Limestone",125034668.870813,0.900158631541684
"14","Madison",427626296.271756,0.805650876840769
"15","Marion",70078861.95282,1.60865829018867
"16","Marshall",143315342.110668,1.02384848086735
"17","Morgan",148338288.890483,0.852149448763876
"18","Pickens",12229197.16065,0.415966131705203
"19","Shelby",217881487.166896,0.696504784966101
"20","Tuscaloosa",151630062.295918,0.499448742994591
"21","Walker",175049089.705308,1.87344716118756
"22","Winston",29720270.26497,0.856422604822302
