County,total_cases,avg_percapita
Autauga,134,1.653066435495762e-6
Baldwin,369,1.1659006433918254e-6
Barbour,17,4.63428209995099e-7
Bibb,124,3.774049537189748e-6
Blount,296,3.512007126211712e-6
Bullock,16,1.0746916434234315e-6
Butler,25,8.632552342864522e-7
Calhoun,314,1.876431903080049e-6
Chambers,24,4.899012373916123e-7
Cherokee,143,3.755369554677338e-6
Chilton,119,1.8464248216465925e-6
Choctaw,3,1.6017539498354161e-7
Clarke,8,2.3002591358042136e-7
Clay,35,1.7989161099262605e-6
Cleburne,59,2.706643569285686e-6
Coffee,90,1.1875441768826367e-6
Colbert,333,4.148721093692014e-6
Conecuh,64,3.5580505026493012e-6
Coosa,21,1.3419503987445846e-6
Covington,49,9.037049990405374e-7
Crenshaw,40,1.9783660595516376e-6
Cullman,231,1.9023831872946757e-6
Dale,82,1.1399747092703566e-6
Dallas,9,1.6122138145334462e-7
De Kalb,144,1.3808875167063812e-6
Elmore,214,1.8032997843996215e-6
Escambia,23,4.286177443121932e-7
Etowah,272,1.8157100622513103e-6
Fayette,74,3.075519451489706e-6
Franklin,227,4.942123523486686e-6
Geneva,73,1.8983087134415308e-6
Greene,5,4.152155397181177e-7
Hale,25,1.1571131525382562e-6
Henry,30,1.1956603735699464e-6
Houston,68,4.420855252945079e-7
Jackson,62,8.200429319892811e-7
Jefferson,2259,2.344559841286354e-6
Lamar,33,1.628639133908279e-6
Lauderdale,266,1.9650006482589228e-6
Lawrence,146,3.0266792025665222e-6
Lee,57,2.4121785056778653e-7
Limestone,185,1.3338386735572954e-6
Lowndes,18,1.2415636437979055e-6
Macon,36,1.331600488012788e-6
Madison,1170,2.207517289686458e-6
Marengo,35,1.2434374642623185e-6
Marion,100,2.2982434734194134e-6
Marshall,214,1.5322291770420389e-6
Mobile,162,2.6801638552786866e-7
Monroe,14,4.549967553274071e-7
Montgomery,300,9.055216728998011e-7
Morgan,319,1.8324244773480598e-6
Perry,20,1.498779392511492e-6
Pickens,23,7.794402140829238e-7
Pike,7,1.4409766773684683e-7
Randolph,44,1.328710415406417e-6
Russell,74,8.792188798794565e-7
Saint Clair,279,2.158705583862377e-6
Shelby,537,1.7134430904741303e-6
Sumter,9,4.865335760728979e-7
Talladega,114,9.719409390185775e-7
Tallapoosa,28,4.7315320778446925e-7
Tuscaloosa,280,9.228034353813668e-7
Walker,309,3.308545539909519e-6
Washington,8,3.3307602817479627e-7
Wilcox,7,4.5027508502594736e-7
Winston,109,3.1434471252987964e-6
