"","County","population","pct_gini","pct_uninsured","pct_unemployee","pct_poverty","pct_disability","median_income","HPSA"
"1","Blount",57846,45.7,4.6,3.4,13.6,17,NA,NA
"2","Cherokee",25952,45.1,3.5,4.4,13.9,20.2,NA,NA
"3","Colbert",54680,44.7,3.1,4.4,15.5,21.4,NA,NA
"4","Cullman",83109,44.2,4.8,5.1,14.9,20.4,NA,NA
"5","Etowah",102522,45.9,4.8,5.5,17.4,21.2,NA,NA
"6","Fayette",16437,46.1,3.6,6.3,19.4,28.7,NA,NA
"7","Franklin",31462,42.8,6.8,4.8,19.4,18.4,NA,NA
"8","Jackson",51852,45.2,4.3,5.1,18.6,22,NA,NA
"9","Jefferson",659148,50.1,4.7,6.5,16,18.5,NA,NA
"10","Lamar",13878,47.2,6.8,8.8,20.6,25.5,NA,NA
"11","Lauderdale",92493,46,4.3,4.7,14.6,17.3,NA,NA
"12","Lawrence",33044,44.1,4,5.3,18,23.6,NA,NA
"13","Limestone",95561,44.5,5,6.2,13.6,18,NA,NA
"14","Madison",364360,46.2,4.5,5,12.5,16,NA,NA
"15","Marion",29826,45.9,3.8,5.5,17.5,28.2,NA,NA
"16","Marshall",95897,47.1,6.1,4.3,20.3,18.1,NA,NA
"17","Morgan",119150,45.3,5,5.1,14.6,19.5,NA,NA
"18","Pickens",20092,49.1,4.7,10.3,22.7,25.9,NA,NA
"19","Shelby",214409,43.9,3.1,3.6,7.5,14.1,NA,NA
"20","Tuscaloosa",208045,46.8,3.9,5.8,17.7,15.6,NA,NA
"21","Walker",64064,45.2,6,8.4,18.1,27.7,NA,NA
"22","Winston",23704,47.5,6.3,7.3,17.6,26.9,NA,NA
