,,2016,,,2017,,,2018,,,2019,,,
County,Population,Total,Rate,Population,Total,Rate,Population,Total,Rate,Population,Total,Rate,Total,Average Rate
BLOUNT,57494,17626,0.31,57787,19353,0.33,57771,22927,0.40,57826,26663,0.46,86569,0.38
CHEROKEE,25768,11760,0.46,25805,11531,0.45,26014,16612,0.64,26196,18060,0.69,57963,0.56
COLBERT,54497,42670,0.78,54695,56494,1.03,55004,55728,1.01,55241,69080,1.25,223972,1.02
CULLMAN,82450,55676,0.68,82867,61611,0.74,83418,71185,0.85,83768,79748,0.95,268220,0.80
ETOWAH,102855,123162,1.20,103007,159932,1.55,102611,165869,1.62,102268,179131,1.75,628094,1.53
FAYETTE,16563,1628,0.10,16466,2015,0.12,16445,2577,0.16,16302,4673,0.29,10893,0.17
FRANKLIN,31611,28842,0.91,31542,35520,1.13,31298,38186,1.22,31362,43348,1.38,145896,1.16
JACKSON,51988,11000,0.21,51828,12389,0.24,51621,12417,0.24,51626,15515,0.30,51321,0.25
JEFFERSON,660343,658068,1.00,659599,666919,1.01,659429,721680,1.09,658573,786097,1.19,2832764,1.07
LAMAR,13928,3480,0.25,13882,4652,0.34,13882,6637,0.48,13805,9162,0.66,23931,0.43
LAUDERDALE,92425,45168,0.49,92564,44529,0.48,92604,50442,0.54,92729,54119,0.58,194258,0.52
LAWRENCE,33227,9617,0.29,33063,11139,0.34,32941,13731,0.42,32924,16928,0.51,51415,0.39
LIMESTONE,92847,84878,0.91,94130,105842,1.12,96177,115263,1.20,98915,119296,1.21,425279,1.11
MADISON,356729,191812,0.54,361762,212388,0.59,367004,237907,0.65,372909,257626,0.69,899733,0.62
MARION,29960,49063,1.64,29792,61106,2.05,29750,74565,2.51,29709,83387,2.81,268121,2.25
MARSHALL,95113,95296,1.00,95572,139422,1.46,96170,165555,1.72,96774,187752,1.94,588025,1.53
MORGAN,119006,156032,1.31,118918,125985,1.06,119203,144972,1.22,119679,190193,1.59,617182,1.29
PICKENS,20325,2353,0.12,20204,2083,0.10,19980,2562,0.13,19930,4924,0.25,11922,0.15
SHELBY,211282,142500,0.67,213633,157709,0.74,215583,170082,0.79,217702,172529,0.79,642820,0.75
TUSCALOOSA,206464,39402,0.19,207618,44540,0.21,208319,55405,0.27,209355,71680,0.34,211027,0.25
WALKER,64533,95430,1.48,63895,118203,1.85,63669,152011,2.39,63521,168750,2.66,534394,2.10
WINSTON,23907,29300,1.23,23760,35728,1.50,23693,47545,2.01,23629,47740,2.02,160313,1.69
