,,2016,,,2017,,,2018,,,2019,,,
County,Pop,Total,Rate,Pop,Total,Rate,Pop,Total,Rate,Pop,Total,Rate,Total,Avg Rate
BLOUNT,57494,6418,0.11,57787,5422,0.09,57771,5295,0.09,57826,3823,0.07,20958,0.09
CHEROKEE,25768,7276,0.28,25805,6669,0.26,26014,6361,0.24,26196,5839,0.22,26145,0.25
COLBERT,54497,25481,0.47,54695,23836,0.44,55004,21634,0.39,55241,20036,0.36,90987,0.42
CULLMAN,82450,24404,0.30,82867,21091,0.25,83418,17763,0.21,83768,15033,0.18,78291,0.23
ETOWAH,102855,32419,0.32,103007,28592,0.28,102611,27166,0.26,102268,24783,0.24,112960,0.28
FAYETTE,16563,2642,0.16,16466,2240,0.14,16445,1850,0.11,16302,1705,0.10,8437,0.13
FRANKLIN,31611,13891,0.44,31542,10680,0.34,31298,8816,0.28,31362,8567,0.27,41954,0.33
JACKSON,51988,16857,0.32,51828,15272,0.29,51621,13139,0.25,51626,11804,0.23,57072,0.27
JEFFERSON,660343,147753,0.22,659599,130476,0.20,659429,114637,0.17,658573,101339,0.15,494205,0.18
LAMAR,13928,2637,0.19,13882,2262,0.16,13882,2010,0.14,13805,1758,0.13,8667,0.16
LAUDERDALE,92425,20191,0.22,92564,17901,0.19,92604,15380,0.17,92729,13822,0.15,67294,0.18
LAWRENCE,33227,7028,0.21,33063,5442,0.16,32941,4971,0.15,32924,4459,0.14,21900,0.16
LIMESTONE,92847,15429,0.17,94130,14408,0.15,96177,13368,0.14,98915,12122,0.12,55327,0.15
MADISON,356729,67528,0.19,361762,60335,0.17,367004,50964,0.14,372909,44007,0.12,222834,0.16
MARION,29960,12147,0.41,29792,10636,0.36,29750,9709,0.33,29709,8551,0.29,41043,0.35
MARSHALL,95113,35326,0.37,95572,32146,0.34,96170,29526,0.31,96774,26429,0.27,123427,0.32
MORGAN,119006,29591,0.25,118918,26374,0.22,119203,24033,0.20,119679,20885,0.17,100883,0.21
PICKENS,20325,3395,0.17,20204,2979,0.15,19980,2660,0.13,19930,2302,0.12,11336,0.14
SHELBY,211282,31296,0.15,213633,28289,0.13,215583,25405,0.12,217702,22791,0.10,107781,0.12
TUSCALOOSA,206464,37124,0.18,207618,33104,0.16,208319,28856,0.14,209355,25389,0.12,124473,0.15
WALKER,64533,28174,0.44,63895,24613,0.39,63669,22647,0.36,63521,20105,0.32,95539,0.38
WINSTON,23907,8469,0.35,23760,7874,0.33,23693,7043,0.30,23629,6100,0.26,29486,0.31
