County,Population_2016,Total_2016,Rate_2016,Population_2017,Total_2017,Rate_2017,Population_2018,Total_2018,Rate_2018,Population_2019,Total_2019,Rate_2019,Total,Avg_Rate
BLOUNT,57494,1436,0.02,57787,1450,0.03,57771,1347,0.02,57826,1078,0.02,5311,0.02
CHEROKEE,25768,2304,0.09,25805,767,0.03,26014,781,0.03,26196,431,0.02,4283,0.04
COLBERT,54497,6888,0.13,54695,4858,0.09,55004,4223,0.08,55241,3450,0.06,19419,0.09
CULLMAN,82450,11476,0.14,82867,8037,0.10,83418,5810,0.07,83768,3780,0.05,29103,0.09
ETOWAH,102855,19475,0.19,103007,10421,0.10,102611,8285,0.08,102268,6763,0.07,44944,0.11
FAYETTE,16563,3913,0.24,16466,3531,0.21,16445,2770,0.17,16302,2406,0.15,12620,0.19
FRANKLIN,31611,2308,0.07,31542,1577,0.05,31298,1125,0.04,31362,757,0.02,5767,0.05
JACKSON,51988,1698,0.03,51828,1488,0.03,51621,1030,0.02,51626,660,0.01,4876,0.02
JEFFERSON,660343,52743,0.08,659599,43743,0.07,659429,33470,0.05,658573,24959,0.04,154915,0.06
LAMAR,13928,1625,0.12,13882,1467,0.11,13882,1544,0.11,13805,1556,0.11,6192,0.11
LAUDERDALE,92425,4268,0.05,92564,2982,0.03,92604,2541,0.03,92729,2349,0.03,12140,0.04
LAWRENCE,33227,1065,0.03,33063,1049,0.03,32941,998,0.03,32924,591,0.02,3703,0.03
LIMESTONE,92847,2703,0.03,94130,1992,0.02,96177,1796,0.02,98915,2354,0.02,8845,0.02
MADISON,356729,12935,0.04,361762,10322,0.03,367004,7335,0.02,372909,5509,0.01,36101,0.03
MARION,29960,4774,0.16,29792,3169,0.11,29750,2506,0.08,29709,2163,0.07,12612,0.11
MARSHALL,95113,11042,0.12,95572,6626,0.07,96170,4879,0.05,96774,3830,0.04,26377,0.07
MORGAN,119006,4073,0.03,118918,3548,0.03,119203,2692,0.02,119679,2068,0.02,12381,0.03
PICKENS,20325,2026,0.10,20204,1570,0.08,19980,1527,0.08,19930,1576,0.08,6699,0.09
SHELBY,211282,15207,0.07,213633,11812,0.06,215583,9133,0.04,217702,7698,0.04,43850,0.05
TUSCALOOSA,206464,39343,0.19,207618,35545,0.17,208319,30897,0.15,209355,25948,0.12,131733,0.16
WALKER,64533,18778,0.29,63895,13912,0.22,63669,11363,0.18,63521,8792,0.14,52845,0.21
WINSTON,23907,3087,0.13,23760,2546,0.11,23693,1701,0.07,23629,1427,0.06,8761,0.09
