,,2016,,,2017,,,2018,,,2019,,,
County,Population,Total,Rate,Population,Total,Rate,Population,Total,Rate,Population,Total,Rate,Total,Avg_Rate
BLOUNT,57494,17625.61,0.84,57787,19352.89,0.92,57771,22927.35,1.09,57826,26663.29,1.26,86569.14,1.03
CHEROKEE,25768,11759.97,1.25,25805,11530.69,1.22,26014,16612.28,1.75,26196,18060.41,1.89,57963.35,1.53
COLBERT,54497,42669.89,2.14,54695,56494.21,2.83,55004,55728.11,2.78,55241,69080.22,3.43,223972.43,2.8
CULLMAN,82450,55675.96,1.84,82867,61611.49,2.04,83418,71184.88,2.34,83768,79748.31,2.61,268220.64,2.21
ETOWAH,102855,123162,3.27,103007,159931.73,4.25,102611,165869.39,4.43,102268,179130.72,4.8,628093.84,4.19
FAYETTE,16563,1627.59,0.27,16466,2015.26,0.34,16445,2576.59,0.43,16302,4672.52,0.79,10891.96,0.46
FRANKLIN,31611,28841.62,2.49,31542,35519.6,3.09,31298,38185.87,3.34,31362,43348.08,3.79,145895.17,3.18
JACKSON,51988,11000.46,0.58,51828,12389.21,0.65,51621,12417.06,0.66,51626,15515.37,0.82,51322.1,0.68
JEFFERSON,660343,658068.39,2.72,659599,666918.66,2.77,659429,721679.98,3,658573,786096.67,3.27,2832763.7,2.94
LAMAR,13928,3480.45,0.68,13882,4652.2,0.92,13882,6636.96,1.31,13805,9162.43,1.82,23932.04,1.18
LAUDERDALE,92425,45168.41,1.34,92564,44528.86,1.32,92604,50441.57,1.49,92729,54118.69,1.6,194257.53,1.44
LAWRENCE,33227,9616.85,0.79,33063,11138.7,0.92,32941,13731.43,1.14,32924,16928.07,1.41,51415.05,1.06
LIMESTONE,92847,84877.78,2.5,94130,105841.83,3.08,96177,115262.79,3.28,98915,119296.3,3.3,425278.7,3.04
MADISON,356729,191811.99,1.47,361762,212388.16,1.61,367004,237907.25,1.78,372909,257626.34,1.89,899733.74,1.69
MARION,29960,49062.76,4.47,29792,61105.71,5.62,29750,74564.99,6.87,29709,83386.58,7.69,268120.04,6.16
MARSHALL,95113,95295.57,2.74,95572,139421.99,4,96170,165555.07,4.72,96774,187751.9,5.32,588024.53,4.2
MORGAN,119006,156031.76,3.58,118918,125984.93,2.9,119203,144972.29,3.33,119679,190193.14,4.35,617182.12,3.54
PICKENS,20325,2352.71,0.32,20204,2082.66,0.28,19980,2562.28,0.35,19930,4924.06,0.68,11921.71,0.41
SHELBY,211282,142500.35,1.84,213633,157708.7,2.02,215583,170082.5,2.16,217702,172528.89,2.17,642820.44,2.05
TUSCALOOSA,206464,39402.03,0.52,207618,44540.17,0.59,208319,55404.71,0.73,209355,71679.68,0.94,211026.59,0.7
WALKER,64533,95429.73,4.04,63895,118203.45,5.07,63669,152010.61,6.54,63521,168750.06,7.28,534393.85,5.73
WINSTON,23907,29299.63,3.35,23760,35727.71,4.12,23693,47544.53,5.5,23629,47739.53,5.54,160311.4,4.63
