,,2016,,,2017,,,2018,,,2019,,,
County,Pop,Total,Rate,Pop,Total,Rate,Pop,Total,Rate,Pop,Total,Rate,Total,Avg Rate
BLOUNT,57494,102,1.77,57787,94,1.63,57771,58,1,57826,42,0.73,296,1.28
CHEROKEE,25768,10,0.39,25805,19,0.74,26014,39,1.5,26196,75,2.86,143,1.37
COLBERT,54497,52,0.95,54695,86,1.57,55004,61,1.11,55241,134,2.43,333,1.52
CULLMAN,82450,53,0.64,82867,67,0.81,83418,59,0.71,83768,52,0.62,231,0.7
ETOWAH,102855,32,0.31,103007,36,0.35,102611,80,0.78,102268,124,1.21,272,0.66
FAYETTE,16563,25,1.51,16466,20,1.21,16445,18,1.09,16302,11,0.67,74,1.12
FRANKLIN,31611,37,1.17,31542,59,1.87,31298,37,1.18,31362,94,3,227,1.8
JACKSON,51988,12,0.23,51828,17,0.33,51621,21,0.41,51626,12,0.23,62,0.3
JEFFERSON,660343,567,0.86,659599,544,0.82,659429,583,0.88,658573,565,0.86,2259,0.86
LAMAR,13928,4,0.29,13882,5,0.36,13882,16,1.15,13805,8,0.58,33,0.6
LAUDERDALE,92425,28,0.3,92564,35,0.38,92604,43,0.46,92729,160,1.73,266,0.72
LAWRENCE,33227,26,0.78,33063,38,1.15,32941,27,0.82,32924,55,1.67,146,1.1
LIMESTONE,92847,57,0.61,94130,62,0.66,96177,31,0.32,98915,35,0.35,185,0.48
MADISON,356729,302,0.85,361762,471,1.3,367004,279,0.76,372909,118,0.32,1170,0.81
MARION,29960,17,0.57,29792,23,0.77,29750,28,0.94,29709,32,1.08,100,0.84
MARSHALL,95113,79,0.83,95572,81,0.85,96170,38,0.4,96774,16,0.17,214,0.56
MORGAN,119006,79,0.66,118918,93,0.78,119203,90,0.76,119679,57,0.48,319,0.67
PICKENS,20325,9,0.44,20204,9,0.45,19980,3,0.15,19930,2,0.1,23,0.29
SHELBY,211282,147,0.7,213633,118,0.55,215583,129,0.6,217702,143,0.66,537,0.63
TUSCALOOSA,206464,91,0.44,207618,87,0.42,208319,51,0.24,209355,51,0.24,280,0.33
WALKER,64533,82,1.27,63895,85,1.33,63669,73,1.15,63521,69,1.09,309,1.21
WINSTON,23907,25,1.05,23760,20,0.84,23693,30,1.27,23629,34,1.44,109,1.15
