"model","family","spatial","spatiotemporal","form","AIC","logLik","npar","hessian_pd","grad_max","converged_strict","n_warnings","warn_hessian","warn_nan","first_warning","DeltaAIC","coef_est","coef_se"
"Poisson_spOFF_OFF_form.er","Poisson","off","off","form.er",4.14347735841821,-0.0717386792091051,2,TRUE,3.14693099700501e-10,TRUE,0,FALSE,FALSE,NA,0,283.798663260918,27051.4613369974
"NB2_spOFF_OFF_form.er","NB2","off","off","form.er",6.14347735841801,-0.0717386792090048,3,FALSE,0.01542416829607,FALSE,2,TRUE,TRUE,"NaNs produced",1.9999999999998,283.798436967306,27051.4643806172
"Poisson_spON_OFF_form.er","Poisson","on","off","form.er",8.14347735843297,-0.0717386792164874,4,FALSE,2.6277157619625e-10,FALSE,13,TRUE,TRUE,"NA/NaN function evaluation",4.00000000001476,283.798625458834,27051.4618553979
"NB2_spON_OFF_form.er","NB2","on","off","form.er",10.1434775500188,-0.0717387750093863,5,FALSE,0.00589485912110475,FALSE,2,TRUE,TRUE,"NaNs produced",6.00000019160056,283.797806491502,27050.936875113
"Poisson_spON_AR1_form.er","Poisson","on","ar1","form.er",12.1434773583371,-0.0717386791685612,6,FALSE,2.85505403342754e-10,FALSE,20,TRUE,TRUE,"NA/NaN function evaluation",7.99999999991891,283.798642011106,27051.4616171427
"Poisson_spOFF_OFF_form.er.cov","Poisson","off","off","form.er.cov",14.1379614815752,-0.0689807407875895,7,TRUE,2.93465728881647e-09,TRUE,0,FALSE,FALSE,NA,9.99448412315697,-443.250575892224,34270.5604950504
"NB2_spON_AR1_form.er","NB2","on","ar1","form.er",14.1434791009872,-0.0717395504935894,7,FALSE,5.77989272254823e-05,FALSE,20,TRUE,TRUE,"NA/NaN function evaluation",10.000001742569,313.567881408044,42480.3158692086
"Poisson_spON_OFF_form.er.cov","Poisson","on","off","form.er.cov",18.1379614815702,-0.0689807407851006,9,FALSE,2.56171616139897e-09,FALSE,15,TRUE,TRUE,"NA/NaN function evaluation",13.994484123152,-443.250949067157,34270.5661813329
"Poisson_spOFF_AR1_form.er.cov","Poisson","off","ar1","form.er.cov",20.1379629312331,-0.0689814656165311,10,FALSE,2.77855360900062e-06,FALSE,2,TRUE,TRUE,"NaNs produced",15.9944855728149,-443.233617095292,34268.238729358
"Poisson_spON_AR1_form.er.cov","Poisson","on","ar1","form.er.cov",22.1379614815653,-0.0689807407826493,11,FALSE,2.93257366099731e-09,FALSE,2,TRUE,TRUE,"NaNs produced",17.9944841231471,-443.250577968001,34270.5605208251
