"County","Population_avg","Total_2016","Rate_2016","Total_2017","Rate_2017","Total_2018","Rate_2018","Total_2019","Rate_2019","Total","Per_Capita"
"BLOUNT",57494,102,0.48,NA,0.45,NA,0.28,NA,0.2,102,1.41
"BLOUNT",57771,NA,0.48,NA,0.45,58,0.28,NA,0.2,58,1.41
"BLOUNT",57787,NA,0.48,94,0.45,NA,0.28,NA,0.2,94,1.41
"BLOUNT",57826,NA,0.48,NA,0.45,NA,0.28,42,0.2,42,1.41
"CHEROKEE",26014,NA,0.11,NA,0.2,39,0.41,NA,0.78,39,1.5
"CHEROKEE",25805,NA,0.11,19,0.2,NA,0.41,NA,0.78,19,1.5
"CHEROKEE",26196,NA,0.11,NA,0.2,NA,0.41,75,0.78,75,1.5
"CHEROKEE",25768,10,0.11,NA,0.2,NA,0.41,NA,0.78,10,1.5
"COLBERT",55004,NA,0.26,NA,0.43,61,0.3,NA,0.66,61,1.65
"COLBERT",54695,NA,0.26,86,0.43,NA,0.3,NA,0.66,86,1.65
"COLBERT",55241,NA,0.26,NA,0.43,NA,0.3,134,0.66,134,1.65
"COLBERT",54497,52,0.26,NA,0.43,NA,0.3,NA,0.66,52,1.65
"CULLMAN",83418,NA,0.18,NA,0.22,59,0.19,NA,0.17,59,0.76
"CULLMAN",82867,NA,0.18,67,0.22,NA,0.19,NA,0.17,67,0.76
"CULLMAN",83768,NA,0.18,NA,0.22,NA,0.19,52,0.17,52,0.76
"CULLMAN",82450,53,0.18,NA,0.22,NA,0.19,NA,0.17,53,0.76
"ETOWAH",102855,32,0.09,NA,0.1,NA,0.21,NA,0.33,32,0.73
"ETOWAH",102268,NA,0.09,NA,0.1,NA,0.21,124,0.33,124,0.73
"ETOWAH",102611,NA,0.09,NA,0.1,80,0.21,NA,0.33,80,0.73
"ETOWAH",103007,NA,0.09,36,0.1,NA,0.21,NA,0.33,36,0.73
"FAYETTE",16445,NA,0.41,NA,0.33,18,0.3,NA,0.18,18,1.22
"FAYETTE",16466,NA,0.41,20,0.33,NA,0.3,NA,0.18,20,1.22
"FAYETTE",16563,25,0.41,NA,0.33,NA,0.3,NA,0.18,25,1.22
"FAYETTE",16302,NA,0.41,NA,0.33,NA,0.3,11,0.18,11,1.22
"FRANKLIN",31298,NA,0.32,NA,0.51,37,0.32,NA,0.82,37,1.97
"FRANKLIN",31542,NA,0.32,59,0.51,NA,0.32,NA,0.82,59,1.97
"FRANKLIN",31362,NA,0.32,NA,0.51,NA,0.32,94,0.82,94,1.97
"FRANKLIN",31611,37,0.32,NA,0.51,NA,0.32,NA,0.82,37,1.97
"JACKSON",51621,NA,0.06,NA,0.09,21,0.11,NA,0.06,21,0.32
"JACKSON",51828,NA,0.06,17,0.09,NA,0.11,NA,0.06,17,0.32
"JACKSON",51626,NA,0.06,NA,0.09,NA,0.11,12,0.06,12,0.32
"JACKSON",51988,12,0.06,NA,0.09,NA,0.11,NA,0.06,12,0.32
"JEFFERSON",659599,NA,0.23,544,0.23,NA,0.24,NA,0.24,544,0.94
"JEFFERSON",660343,567,0.23,NA,0.23,NA,0.24,NA,0.24,567,0.94
"JEFFERSON",658573,NA,0.23,NA,0.23,NA,0.24,565,0.24,565,0.94
"JEFFERSON",659429,NA,0.23,NA,0.23,583,0.24,NA,0.24,583,0.94
"LAMAR",13882,NA,0.08,5,0.1,16,0.32,NA,0.16,21,0.66
"LAMAR",13928,4,0.08,NA,0.1,NA,0.32,NA,0.16,4,0.66
"LAMAR",13805,NA,0.08,NA,0.1,NA,0.32,8,0.16,8,0.66
"LAUDERDALE",92564,NA,0.08,35,0.1,NA,0.13,NA,0.47,35,0.78
"LAUDERDALE",92729,NA,0.08,NA,0.1,NA,0.13,160,0.47,160,0.78
"LAUDERDALE",92425,28,0.08,NA,0.1,NA,0.13,NA,0.47,28,0.78
"LAUDERDALE",92604,NA,0.08,NA,0.1,43,0.13,NA,0.47,43,0.78
"LAWRENCE",33063,NA,0.21,38,0.31,NA,0.22,NA,0.46,38,1.2
"LAWRENCE",32924,NA,0.21,NA,0.31,NA,0.22,55,0.46,55,1.2
"LAWRENCE",33227,26,0.21,NA,0.31,NA,0.22,NA,0.46,26,1.2
"LAWRENCE",32941,NA,0.21,NA,0.31,27,0.22,NA,0.46,27,1.2
"LIMESTONE",94130,NA,0.17,62,0.18,NA,0.09,NA,0.1,62,0.54
"LIMESTONE",92847,57,0.17,NA,0.18,NA,0.09,NA,0.1,57,0.54
"LIMESTONE",98915,NA,0.17,NA,0.18,NA,0.09,35,0.1,35,0.54
"LIMESTONE",96177,NA,0.17,NA,0.18,31,0.09,NA,0.1,31,0.54
"MADISON",367004,NA,0.23,NA,0.36,279,0.21,NA,0.09,279,0.89
"MADISON",356729,302,0.23,NA,0.36,NA,0.21,NA,0.09,302,0.89
"MADISON",361762,NA,0.23,471,0.36,NA,0.21,NA,0.09,471,0.89
"MADISON",372909,NA,0.23,NA,0.36,NA,0.21,118,0.09,118,0.89
"MARION",29792,NA,0.16,23,0.21,NA,0.26,NA,0.3,23,0.93
"MARION",29709,NA,0.16,NA,0.21,NA,0.26,32,0.3,32,0.93
"MARION",29960,17,0.16,NA,0.21,NA,0.26,NA,0.3,17,0.93
"MARION",29750,NA,0.16,NA,0.21,28,0.26,NA,0.3,28,0.93
"MARSHALL",95572,NA,0.23,81,0.23,NA,0.11,NA,0.05,81,0.62
"MARSHALL",96774,NA,0.23,NA,0.23,NA,0.11,16,0.05,16,0.62
"MARSHALL",95113,79,0.23,NA,0.23,NA,0.11,NA,0.05,79,0.62
"MARSHALL",96170,NA,0.23,NA,0.23,38,0.11,NA,0.05,38,0.62
"MORGAN",118918,NA,0.18,93,0.21,NA,0.21,NA,0.13,93,0.73
"MORGAN",119679,NA,0.18,NA,0.21,NA,0.21,57,0.13,57,0.73
"MORGAN",119006,79,0.18,NA,0.21,NA,0.21,NA,0.13,79,0.73
"MORGAN",119203,NA,0.18,NA,0.21,90,0.21,NA,0.13,90,0.73
"PICKENS",20325,9,0.12,NA,0.12,NA,0.04,NA,0.03,9,0.31
"PICKENS",19980,NA,0.12,NA,0.12,3,0.04,NA,0.03,3,0.31
"PICKENS",19930,NA,0.12,NA,0.12,NA,0.04,2,0.03,2,0.31
"PICKENS",20204,NA,0.12,9,0.12,NA,0.04,NA,0.03,9,0.31
"SHELBY",213633,NA,0.19,118,0.15,NA,0.16,NA,0.18,118,0.68
"SHELBY",211282,147,0.19,NA,0.15,NA,0.16,NA,0.18,147,0.68
"SHELBY",217702,NA,0.19,NA,0.15,NA,0.16,143,0.18,143,0.68
"SHELBY",215583,NA,0.19,NA,0.15,129,0.16,NA,0.18,129,0.68
"TUSCALOOSA",207618,NA,0.12,87,0.11,NA,0.07,NA,0.07,87,0.37
"TUSCALOOSA",209355,NA,0.12,NA,0.11,NA,0.07,51,0.07,51,0.37
"TUSCALOOSA",206464,91,0.12,NA,0.11,NA,0.07,NA,0.07,91,0.37
"TUSCALOOSA",208319,NA,0.12,NA,0.11,51,0.07,NA,0.07,51,0.37
"WALKER",63895,NA,0.35,85,0.36,NA,0.31,NA,0.3,85,1.32
"WALKER",63521,NA,0.35,NA,0.36,NA,0.31,69,0.3,69,1.32
"WALKER",64533,82,0.35,NA,0.36,NA,0.31,NA,0.3,82,1.32
"WALKER",63669,NA,0.35,NA,0.36,73,0.31,NA,0.3,73,1.32
"WINSTON",23907,25,0.29,NA,0.23,NA,0.35,NA,0.39,25,1.26
"WINSTON",23760,NA,0.29,20,0.23,NA,0.35,NA,0.39,20,1.26
"WINSTON",23693,NA,0.29,NA,0.23,30,0.35,NA,0.39,30,1.26
"WINSTON",23629,NA,0.29,NA,0.23,NA,0.35,34,0.39,34,1.26
