"term","Opioid Burden to ED (a-path)","Outcome Models (b & c' paths)"
"(Intercept)","-6.36 (0.50) ***","-9.05 (0.20) ***"
"OXYCODONE_annual_percapita_z","-2.17 (1.76) ","0.51 (0.14) ***"
"BUPRENORPHINE_annual_percapita_z","-0.81 (0.56) ","0.21 (0.10) *"
"HYDROCODONE_annual_percapita_z","3.52 (1.43) *","-0.84 (0.17) ***"
"METHADONE_annual_percapita_z","0.18 (1.12) ","0.04 (0.07) "
"rural_factor3","-0.32 (1.02) ","-0.95 (0.17) ***"
"rural_factor4","-2.68 (0.46) ***","0.10 (0.21) "
"rural_factor5","-3.40 (0.66) ***","0.47 (0.30) "
"rural_factor6","-2.71 (0.62) ***","-0.54 (0.27) *"
"gini_index_z","-0.50 (0.17) **","0.29 (0.07) ***"
"poverty_rate_z","0.42 (0.28) ","0.10 (0.12) "
"noinsurance_rate_z","0.06 (0.20) ","-0.20 (0.11) ."
"time_index","0.68 (0.16) ***","-0.10 (0.05) *"
"OXYCODONE_annual_percapita_z:rural_factor3","0.94 (1.73) ","-"
"OXYCODONE_annual_percapita_z:rural_factor4","3.19 (1.59) *","-"
"OXYCODONE_annual_percapita_z:rural_factor5","0.39 (2.46) ","-"
"OXYCODONE_annual_percapita_z:rural_factor6","1.37 (1.67) ","-"
"OXYCODONE_annual_percapita_z:gini_index_z","-0.63 (0.48) ","-"
"OXYCODONE_annual_percapita_z:poverty_rate_z","-0.35 (0.69) ","-"
"OXYCODONE_annual_percapita_z:noinsurance_rate_z","-0.08 (0.38) ","-"
"OXYCODONE_annual_percapita_z:time_index","-0.07 (0.12) ","-"
"BUPRENORPHINE_annual_percapita_z:rural_factor3","0.15 (0.68) ","-"
"BUPRENORPHINE_annual_percapita_z:rural_factor4","0.14 (0.38) ","-"
"BUPRENORPHINE_annual_percapita_z:rural_factor5","-0.47 (0.65) ","-"
"BUPRENORPHINE_annual_percapita_z:rural_factor6","0.30 (0.48) ","-"
"BUPRENORPHINE_annual_percapita_z:gini_index_z","0.26 (0.22) ","-"
"BUPRENORPHINE_annual_percapita_z:poverty_rate_z","0.56 (0.24) *","-"
"BUPRENORPHINE_annual_percapita_z:noinsurance_rate_z","-0.35 (0.20) .","-"
"BUPRENORPHINE_annual_percapita_z:time_index","-0.09 (0.06) ","-"
"HYDROCODONE_annual_percapita_z:rural_factor3","0.94 (2.08) ","-"
"HYDROCODONE_annual_percapita_z:rural_factor4","-4.16 (1.44) **","-"
"HYDROCODONE_annual_percapita_z:rural_factor5","-2.14 (2.08) ","-"
"HYDROCODONE_annual_percapita_z:rural_factor6","-2.43 (1.44) .","-"
"HYDROCODONE_annual_percapita_z:gini_index_z","0.46 (0.39) ","-"
"HYDROCODONE_annual_percapita_z:poverty_rate_z","0.31 (0.72) ","-"
"HYDROCODONE_annual_percapita_z:noinsurance_rate_z","-0.11 (0.36) ","-"
"HYDROCODONE_annual_percapita_z:time_index","0.34 (0.11) **","-"
"METHADONE_annual_percapita_z:rural_factor3","-1.19 (1.29) ","-"
"METHADONE_annual_percapita_z:rural_factor4","-0.85 (1.05) ","-"
"METHADONE_annual_percapita_z:rural_factor5","1.37 (1.18) ","-"
"METHADONE_annual_percapita_z:rural_factor6","-0.50 (1.19) ","-"
"METHADONE_annual_percapita_z:gini_index_z","0.30 (0.38) ","-"
"METHADONE_annual_percapita_z:poverty_rate_z","0.66 (0.31) *","-"
"METHADONE_annual_percapita_z:noinsurance_rate_z","-0.58 (0.24) *","-"
"METHADONE_annual_percapita_z:time_index","0.00 (0.06) ","-"
"ER_annual_percapita_z","-","0.18 (0.21) "
"ER_annual_percapita_z:rural_factor3","-","-0.46 (0.26) ."
"ER_annual_percapita_z:rural_factor4","-","0.02 (0.25) "
"ER_annual_percapita_z:rural_factor5","-","-0.06 (0.38) "
"ER_annual_percapita_z:rural_factor6","-","0.09 (0.28) "
"ER_annual_percapita_z:gini_index_z","-","0.12 (0.12) "
"ER_annual_percapita_z:poverty_rate_z","-","0.13 (0.11) "
"ER_annual_percapita_z:noinsurance_rate_z","-","-0.13 (0.10) "
"ER_annual_percapita_z:time_index","-","-0.01 (0.06) "
"---","",""
"Family","NegBinomial (log)","Poisson (log)"
"Matérn Range","24.30","20.17"
"Spatial SD","0.89","1.09"
