"term","Opioid Burden to ED (a-path)","Outcome Models (b & c' paths)"
"(Intercept)","-7.06 (0.28) ***","-8.85 (0.27) ***"
"opioid_burden","-0.39 (0.40) ","-0.03 (0.11) "
"METHADONE_annual_percapita_z","0.30 (0.30) ","-0.08 (0.10) "
"rural_factor3","0.17 (0.47) ","-1.12 (0.39) **"
"rural_factor4","-0.46 (0.35) ","-0.56 (0.30) ."
"rural_factor5","-0.40 (0.28) ","-0.46 (0.28) "
"rural_factor6","0.24 (0.26) ","-0.54 (0.32) ."
"ses_composite","-0.00 (0.11) ","-0.22 (0.13) "
"time_index","0.02 (0.06) ","-0.06 (0.04) "
"opioid_burden:rural_factor3","1.28 (0.58) *","-"
"opioid_burden:rural_factor4","0.09 (0.41) ","-"
"opioid_burden:rural_factor5","-0.13 (0.62) ","-"
"opioid_burden:rural_factor6","-0.29 (0.39) ","-"
"opioid_burden:ses_composite","0.19 (0.17) ","-"
"opioid_burden:time_index","0.09 (0.05) .","-"
"METHADONE_annual_percapita_z:rural_factor3","-0.09 (0.38) ","-"
"METHADONE_annual_percapita_z:rural_factor4","-0.55 (0.33) ","-"
"METHADONE_annual_percapita_z:rural_factor5","0.41 (0.40) ","-"
"METHADONE_annual_percapita_z:rural_factor6","-0.33 (0.31) ","-"
"METHADONE_annual_percapita_z:ses_composite","0.03 (0.15) ","-"
"METHADONE_annual_percapita_z:time_index","-0.08 (0.05) ","-"
"ER_annual_percapita_z","-","-0.22 (0.23) "
"ER_annual_percapita_z:rural_factor3","-","-0.07 (0.28) "
"ER_annual_percapita_z:rural_factor4","-","0.44 (0.26) ."
"ER_annual_percapita_z:rural_factor5","-","0.20 (0.35) "
"ER_annual_percapita_z:rural_factor6","-","0.38 (0.29) "
"ER_annual_percapita_z:ses_composite","-","-0.13 (0.14) "
"ER_annual_percapita_z:time_index","-","-0.04 (0.06) "
