"term","Mediator (Rural Base)_Result","Outcome (Mortality)_Result","Mediator (Rural Base)_stars","Outcome (Mortality)_stars"
"(Intercept)","-6.36 (0.50)","-9.26 (0.22)","***","***"
"OXYCODONE_annual_percapita_z","-2.17 (1.76)","0.56 (0.16)","","***"
"BUPRENORPHINE_annual_percapita_z","-0.81 (0.56)","0.28 (0.12)","","*"
"HYDROCODONE_annual_percapita_z","3.52 (1.43)","-1.01 (0.21)","*","***"
"METHADONE_annual_percapita_z","0.18 (1.12)","0.17 (0.08)","","*"
"rural_factor3","-0.32 (1.02)","-0.89 (0.18)","","***"
"rural_factor4","-2.68 (0.46)","0.28 (0.24)","***",""
"rural_factor5","-3.40 (0.66)","0.66 (0.33)","***","*"
"rural_factor6","-2.71 (0.62)","-0.99 (0.34)","***","**"
"gini_index_z","-0.50 (0.17)","0.37 (0.07)","**","***"
"poverty_rate_z","0.42 (0.28)","0.00 (0.14)","",""
"noinsurance_rate_z","0.06 (0.20)","-0.17 (0.14)","",""
"time_index","0.68 (0.16)","-0.11 (0.05)","***","*"
"OXYCODONE_annual_percapita_z:rural_factor3","0.94 (1.73)","-","",""
"OXYCODONE_annual_percapita_z:rural_factor4","3.19 (1.59)","-","*",""
"OXYCODONE_annual_percapita_z:rural_factor5","0.39 (2.46)","-","",""
"OXYCODONE_annual_percapita_z:rural_factor6","1.37 (1.67)","-","",""
"OXYCODONE_annual_percapita_z:gini_index_z","-0.63 (0.48)","-","",""
"OXYCODONE_annual_percapita_z:poverty_rate_z","-0.35 (0.69)","-","",""
"OXYCODONE_annual_percapita_z:noinsurance_rate_z","-0.08 (0.38)","-","",""
"OXYCODONE_annual_percapita_z:time_index","-0.07 (0.12)","-","",""
"BUPRENORPHINE_annual_percapita_z:rural_factor3","0.15 (0.68)","-","",""
"BUPRENORPHINE_annual_percapita_z:rural_factor4","0.14 (0.38)","-","",""
"BUPRENORPHINE_annual_percapita_z:rural_factor5","-0.47 (0.65)","-","",""
"BUPRENORPHINE_annual_percapita_z:rural_factor6","0.30 (0.48)","-","",""
"BUPRENORPHINE_annual_percapita_z:gini_index_z","0.26 (0.22)","-","",""
"BUPRENORPHINE_annual_percapita_z:poverty_rate_z","0.56 (0.24)","-","*",""
"BUPRENORPHINE_annual_percapita_z:noinsurance_rate_z","-0.35 (0.20)","-",".",""
"BUPRENORPHINE_annual_percapita_z:time_index","-0.09 (0.06)","-","",""
"HYDROCODONE_annual_percapita_z:rural_factor3","0.94 (2.08)","-","",""
"HYDROCODONE_annual_percapita_z:rural_factor4","-4.16 (1.44)","-","**",""
"HYDROCODONE_annual_percapita_z:rural_factor5","-2.14 (2.08)","-","",""
"HYDROCODONE_annual_percapita_z:rural_factor6","-2.43 (1.44)","-",".",""
"HYDROCODONE_annual_percapita_z:gini_index_z","0.46 (0.39)","-","",""
"HYDROCODONE_annual_percapita_z:poverty_rate_z","0.31 (0.72)","-","",""
"HYDROCODONE_annual_percapita_z:noinsurance_rate_z","-0.11 (0.36)","-","",""
"HYDROCODONE_annual_percapita_z:time_index","0.34 (0.11)","-","**",""
"METHADONE_annual_percapita_z:rural_factor3","-1.19 (1.29)","-","",""
"METHADONE_annual_percapita_z:rural_factor4","-0.85 (1.05)","-","",""
"METHADONE_annual_percapita_z:rural_factor5","1.37 (1.18)","-","",""
"METHADONE_annual_percapita_z:rural_factor6","-0.50 (1.19)","-","",""
"METHADONE_annual_percapita_z:gini_index_z","0.30 (0.38)","-","",""
"METHADONE_annual_percapita_z:poverty_rate_z","0.66 (0.31)","-","*",""
"METHADONE_annual_percapita_z:noinsurance_rate_z","-0.58 (0.24)","-","*",""
"METHADONE_annual_percapita_z:time_index","0.00 (0.06)","-","",""
"ER_annual_percapita_z","-","0.35 (0.23)","",""
"ER_annual_percapita_z:rural_factor3","-","-0.29 (0.27)","",""
"ER_annual_percapita_z:rural_factor4","-","-0.01 (0.27)","",""
"ER_annual_percapita_z:rural_factor5","-","-0.08 (0.41)","",""
"ER_annual_percapita_z:rural_factor6","-","0.02 (0.39)","",""
"ER_annual_percapita_z:gini_index_z","-","0.07 (0.14)","",""
"ER_annual_percapita_z:poverty_rate_z","-","0.11 (0.13)","",""
"ER_annual_percapita_z:noinsurance_rate_z","-","-0.03 (0.13)","",""
"ER_annual_percapita_z:time_index","-","-0.10 (0.07)","",""
