"term","Mediator (Rural Base)_Result","Outcome (Mortality)_Result","Mediator (Rural Base)_stars","Outcome (Mortality)_stars"
"(Intercept)","-5.55 (0.51)","-9.62 (0.38)","***","***"
"OXYCODONE_annual_percapita_z","-6.45 (2.34)","0.59 (0.17)","**","***"
"BUPRENORPHINE_annual_percapita_z","1.13 (0.71)","0.25 (0.13)","","*"
"HYDROCODONE_annual_percapita_z","4.09 (1.56)","-1.02 (0.22)","**","***"
"METHADONE_annual_percapita_z","2.83 (1.34)","0.19 (0.09)","*","*"
"rural_factor3","-0.27 (1.06)","-0.86 (0.20)","","***"
"rural_factor4","-2.31 (0.44)","0.27 (0.25)","***",""
"rural_factor5","-3.66 (0.60)","0.70 (0.35)","***","*"
"rural_factor6","-3.05 (0.57)","-0.94 (0.35)","***","**"
"gini_index_z","-0.72 (0.16)","0.39 (0.08)","***","***"
"poverty_rate_z","0.48 (0.26)","-0.03 (0.15)",".",""
"noinsurance_rate_z","0.17 (0.20)","-0.16 (0.14)","",""
"time_index","-0.03 (0.27)","0.15 (0.25)","",""
"I(time_index^2)","0.15 (0.05)","-0.04 (0.05)","**",""
"OXYCODONE_annual_percapita_z:rural_factor3","3.39 (2.03)","-",".",""
"OXYCODONE_annual_percapita_z:rural_factor4","5.80 (1.82)","-","**",""
"OXYCODONE_annual_percapita_z:rural_factor5","2.94 (2.75)","-","",""
"OXYCODONE_annual_percapita_z:rural_factor6","4.26 (2.00)","-","*",""
"OXYCODONE_annual_percapita_z:gini_index_z","-0.58 (0.47)","-","",""
"OXYCODONE_annual_percapita_z:poverty_rate_z","-0.89 (0.74)","-","",""
"OXYCODONE_annual_percapita_z:noinsurance_rate_z","-0.24 (0.39)","-","",""
"OXYCODONE_annual_percapita_z:time_index","0.84 (0.42)","-","*",""
"OXYCODONE_annual_percapita_z:I(time_index^2)","-0.13 (0.07)","-","*",""
"BUPRENORPHINE_annual_percapita_z:rural_factor3","-0.57 (0.66)","-","",""
"BUPRENORPHINE_annual_percapita_z:rural_factor4","-0.55 (0.41)","-","",""
"BUPRENORPHINE_annual_percapita_z:rural_factor5","-1.38 (0.64)","-","*",""
"BUPRENORPHINE_annual_percapita_z:rural_factor6","-0.36 (0.49)","-","",""
"BUPRENORPHINE_annual_percapita_z:gini_index_z","0.44 (0.21)","-","*",""
"BUPRENORPHINE_annual_percapita_z:poverty_rate_z","0.41 (0.23)","-",".",""
"BUPRENORPHINE_annual_percapita_z:noinsurance_rate_z","-0.40 (0.19)","-","*",""
"BUPRENORPHINE_annual_percapita_z:time_index","-1.03 (0.27)","-","***",""
"BUPRENORPHINE_annual_percapita_z:I(time_index^2)","0.15 (0.05)","-","**",""
"HYDROCODONE_annual_percapita_z:rural_factor3","1.15 (2.15)","-","",""
"HYDROCODONE_annual_percapita_z:rural_factor4","-4.74 (1.40)","-","***",""
"HYDROCODONE_annual_percapita_z:rural_factor5","-1.92 (2.06)","-","",""
"HYDROCODONE_annual_percapita_z:rural_factor6","-2.45 (1.44)","-",".",""
"HYDROCODONE_annual_percapita_z:gini_index_z","0.66 (0.37)","-",".",""
"HYDROCODONE_annual_percapita_z:poverty_rate_z","0.74 (0.74)","-","",""
"HYDROCODONE_annual_percapita_z:noinsurance_rate_z","-0.27 (0.36)","-","",""
"HYDROCODONE_annual_percapita_z:time_index","0.18 (0.35)","-","",""
"HYDROCODONE_annual_percapita_z:I(time_index^2)","0.03 (0.06)","-","",""
"METHADONE_annual_percapita_z:rural_factor3","-4.01 (1.47)","-","**",""
"METHADONE_annual_percapita_z:rural_factor4","-3.10 (1.22)","-","*",""
"METHADONE_annual_percapita_z:rural_factor5","-1.59 (1.52)","-","",""
"METHADONE_annual_percapita_z:rural_factor6","-3.52 (1.47)","-","*",""
"METHADONE_annual_percapita_z:gini_index_z","-0.12 (0.38)","-","",""
"METHADONE_annual_percapita_z:poverty_rate_z","1.07 (0.31)","-","***",""
"METHADONE_annual_percapita_z:noinsurance_rate_z","-0.76 (0.22)","-","***",""
"METHADONE_annual_percapita_z:time_index","0.19 (0.18)","-","",""
"METHADONE_annual_percapita_z:I(time_index^2)","-0.01 (0.03)","-","",""
"ER_annual_percapita_z","-","0.83 (0.45)","","."
"ER_annual_percapita_z:rural_factor3","-","-0.37 (0.30)","",""
"ER_annual_percapita_z:rural_factor4","-","-0.17 (0.31)","",""
"ER_annual_percapita_z:rural_factor5","-","-0.20 (0.45)","",""
"ER_annual_percapita_z:rural_factor6","-","-0.16 (0.41)","",""
"ER_annual_percapita_z:gini_index_z","-","0.09 (0.15)","",""
"ER_annual_percapita_z:poverty_rate_z","-","0.12 (0.14)","",""
"ER_annual_percapita_z:noinsurance_rate_z","-","-0.07 (0.14)","",""
"ER_annual_percapita_z:time_index","-","-0.53 (0.38)","",""
"ER_annual_percapita_z:I(time_index^2)","-","0.09 (0.07)","",""
