"County","intercept_total_log","slope_total_log","baseline_rate_pc","annual_multiplier","annual_change_pct","rank_by_slope","rank_by_intercept"
"LAUDERDALE",-13.374191123478,0.639334428192999,1.555e-06,1.895,89.52,1,17
"CHEROKEE",-12.7285782222167,0.625447106870456,2.965e-06,1.869,86.91,2,6
"ETOWAH",-13.352082694517,0.481183124414628,1.59e-06,1.618,61.8,3,16
"FRANKLIN",-12.2787496387422,0.271826947482427,4.65e-06,1.312,31.24,4,1
"COLBERT",-12.4449522987274,0.265517902647712,3.938e-06,1.304,30.41,5,2
"LAMAR",-13.3173806180523,0.215735512215504,1.646e-06,1.241,24.08,6,15
"LAWRENCE",-12.7450699506208,0.209666032428822,2.917e-06,1.233,23.33,7,7
"MARION",-13.0086401072082,0.193111596286329,2.241e-06,1.213,21.3,8,10
"WINSTON",-12.6991134752556,0.141395125644885,3.054e-06,1.152,15.19,9,5
"JACKSON",-13.9538832442499,0.00906431557018958,8.708e-07,1.009,0.91,10,21
"JEFFERSON",-12.9639039968241,0.00782544147220451,2.343e-06,1.008,0.79,11,9
"SHELBY",-13.2759158067885,-0.00942829062592287,1.715e-06,0.9906,-0.94,12,14
"CULLMAN",-13.1723171847522,-0.0214538113784587,1.903e-06,0.9788,-2.12,13,12
"WALKER",-12.6294432309916,-0.0545596154491048,3.274e-06,0.9469,-5.31,14,4
"MORGAN",-13.214065488521,-0.0846682198764755,1.825e-06,0.9188,-8.12,15,13
"FAYETTE",-12.7488015588262,-0.200631910778836,2.906e-06,0.8182,-18.18,16,8
"LIMESTONE",-13.5504337793041,-0.220901815635421,1.304e-06,0.8018,-19.82,17,19
"TUSCALOOSA",-13.9153564631089,-0.22319919790323,9.05e-07,0.8,-20,18,20
"MADISON",-13.0711937118853,-0.277874761457624,2.105e-06,0.7574,-24.26,19,11
"BLOUNT",-12.62175176786,-0.288837001596653,3.299e-06,0.7491,-25.09,20,3
"PICKENS",-14.0008712122491,-0.338514022890873,8.308e-07,0.7128,-28.72,21,22
"MARSHALL",-13.5044640840495,-0.442122698751671,1.365e-06,0.6427,-35.73,22,18
